Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0603_1608Metric","154.9400","-121.5390","180.0000","top"
"C10","0.1u","C_0603_1608Metric","168.7829","-100.1480","0.0000","top"
"C11","0.1u","C_0603_1608Metric","172.5676","-96.9772","180.0000","top"
"C12","0.1u","C_0603_1608Metric","160.9725","-112.2045","180.0000","top"
"C13","0.1u","C_0603_1608Metric","176.4030","-100.2665","180.0000","top"
"C14","0.1u","C_0603_1608Metric","170.1165","-106.4260","90.0000","top"
"C15","0.1u","C_0603_1608Metric","157.0355","-106.6800","90.0000","top"
"C16","4.7u","C_0603_1608Metric","176.4030","-106.5530","0.0000","top"
"C17","4.7u","C_0603_1608Metric","163.2585","-105.2830","0.0000","top"
"C18","0.1u","C_0603_1608Metric","176.4030","-108.1405","0.0000","top"
"C19","0.1u","C_0603_1608Metric","163.2585","-106.8705","0.0000","top"
"C2","4.7uF","C_0603_1608Metric","147.4470","-121.5390","180.0000","top"
"C20","100p","C_0603_1608Metric","168.7829","-98.5626","0.0000","top"
"C21","10p","C_0603_1608Metric","168.7829","-96.9772","0.0000","top"
"C22","0.1u","C_0603_1608Metric","147.7645","-98.0440","0.0000","top"
"C3","0.1u","C_0603_1608Metric","143.8782","-117.5004","180.0000","top"
"C4","0.1u","C_0603_1608Metric","143.8910","-119.0625","180.0000","top"
"C5","100u","C_1206_3216Metric","168.1480","-106.4260","90.0000","top"
"C6","100u","C_1206_3216Metric","155.0670","-106.8705","90.0000","top"
"C7","0.1u","C_0603_1608Metric","147.7772","-96.4184","0.0000","top"
"C8","0.1u","C_0603_1608Metric","180.2130","-108.0770","0.0000","top"
"C9","0.1u","C_0603_1608Metric","157.0990","-119.6340","180.0000","top"
"D1","LED_Green","LED_0805_2012Metric","144.6530","-122.4280","270.0000","top"
"Q1","2N7002","SOT-23","139.8270","-96.3930","180.0000","top"
"R1","22","R_0603_1608Metric","163.2585","-108.4580","0.0000","top"
"R10","10k","R_0603_1608Metric","151.5364","-98.0440","0.0000","top"
"R11","10k","R_0603_1608Metric","168.7829","-101.7333","0.0000","top"
"R12","5.6k","R_0603_1608Metric","176.4030","-104.9655","180.0000","top"
"R13","470R","R_0603_1608Metric","147.4470","-123.1900","0.0000","top"
"R14","510R","R_0603_1608Metric","154.7495","-114.6810","90.0000","top"
"R15","5k","R_0603_1608Metric","154.9400","-123.1900","0.0000","top"
"R16","200k","R_0603_1608Metric","157.1625","-110.6170","0.0000","top"
"R17","10k","R_0603_1608Metric","160.9725","-110.6170","0.0000","top"
"R18","2.2K","R_0603_1608Metric","172.5676","-98.5626","180.0000","top"
"R19","200k","R_0603_1608Metric","154.7495","-117.7290","90.0000","top"
"R2","1k","R_0603_1608Metric","168.8084","-103.3187","0.0000","top"
"R20","10k","R_0603_1608Metric","172.6184","-101.8540","0.0000","top"
"R21","10k","R_0603_1608Metric","143.7640","-97.2312","0.0000","top"
"R22","1M","R_0603_1608Metric","143.7640","-95.5675","0.0000","top"
"R23","56k","R_0603_1608Metric","172.5930","-103.4415","180.0000","top"
"R24","1k","R_0603_1608Metric","176.4029","-103.3801","0.0000","top"
"R25","1k","R_0603_1608Metric","176.4029","-101.7947","0.0000","top"
"R26","10k","R_0603_1608Metric","157.1625","-112.2045","0.0000","top"
"R3","1k","R_0603_1608Metric","172.5930","-100.2030","0.0000","top"
"R4","470R","R_0603_1608Metric","160.9090","-119.6340","0.0000","top"
"R5","0R","R_0402_1005Metric","155.1940","-92.7735","270.0000","bottom"
"R6","1k","R_0603_1608Metric","180.1876","-106.4958","0.0000","top"
"R7","1k","R_0603_1608Metric","180.1876","-104.9105","0.0000","top"
"R8","10k","R_0603_1608Metric","166.1160","-125.0823","0.0000","top"
"R9","10k","R_0603_1608Metric","153.8605","-125.0823","180.0000","top"
"U1","DS3231MZ","SOIC-8_3.9x4.9mm_P1.27mm","178.6890","-96.7105","0.0000","top"
"U10","XC6209","SOT-23-5","172.9105","-106.1085","0.0000","top"
"U11","MCP73831T-2ACI_OT","SOT-23-5","151.5110","-122.0470","270.0000","top"
"U13","XC6209","SOT-23-5","159.7660","-106.3625","0.0000","top"
"U2","BMA400","LGA-12_2x2mm_P0.5mm","180.5940","-101.6000","0.0000","top"
"U3","PSRAM64H","SOP-8_3.9x4.9mm_P1.27mm","159.3850","-115.9510","0.0000","top"
"U6","CH340E","MSOP-10_3x3mm_P0.5mm","160.0835","-122.3645","0.0000","top"
"U8","Quectel_L96","Quectel_L96","160.0000","-96.2500","0.0000","top"
"U9","TPS2115A","TSSOP-8_4.4x3mm_P0.65mm","149.9870","-118.2370","180.0000","top"
